2026-02-21 03:14:29 | INFO     | runner | Running Bronze layer...
2026-02-21 03:14:29 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:14:29 | INFO     | pipeline.bronze | BRONZE LAYER — Starting ingestion
2026-02-21 03:14:29 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:14:35 | INFO     | pipeline.bronze | Saved 75 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/competitions/competitions.parquet
2026-02-21 03:14:35 | INFO     | pipeline.bronze | Loaded 1 enabled competition(s) from config
2026-02-21 03:14:35 | INFO     | pipeline.bronze | Processing: FIFA World Cup 2022
2026-02-21 03:14:35 | INFO     | pipeline.bronze | Fetching matches for FIFA World Cup 2022...
2026-02-21 03:14:36 | INFO     | pipeline.bronze | Saved 64 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/matches/43_106.parquet
2026-02-21 03:14:36 | INFO     | pipeline.bronze | Found 64 matches for FIFA World Cup 2022
2026-02-21 03:14:36 | INFO     | pipeline.bronze | Fetching events for match 3857256...
2026-02-21 03:14:38 | INFO     | pipeline.bronze | Saved 3211 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857256.parquet
2026-02-21 03:14:38 | INFO     | pipeline.bronze | Fetching lineups for match 3857256...
2026-02-21 03:14:39 | INFO     | pipeline.bronze | Saved 49 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857256.parquet
2026-02-21 03:14:39 | INFO     | pipeline.bronze | Fetching events for match 3869151...
2026-02-21 03:14:42 | INFO     | pipeline.bronze | Saved 4150 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3869151.parquet
2026-02-21 03:14:42 | INFO     | pipeline.bronze | Fetching lineups for match 3869151...
2026-02-21 03:14:43 | INFO     | pipeline.bronze | Saved 52 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3869151.parquet
2026-02-21 03:14:43 | INFO     | pipeline.bronze | Fetching events for match 3857257...
